Wall time,Step,Value
1542189359.494353,288,1.5023078958620317e-05
1542189360.0703316,289,1.561503449920565e-05
1542189360.6406825,290,1.5719437215011567e-05
1542189361.2170188,291,1.6336953194695525e-05
1542189361.7979338,292,1.5368032109108754e-05
1542189362.39823,293,1.5618921679561026e-05
1542189362.9746692,294,1.5406498278025538e-05
1542189363.5458825,295,1.4737491255800705e-05
1542189364.1181135,296,1.5195861124084331e-05
1542189364.6889892,297,1.4794695744058117e-05
1542189365.260927,298,1.5246893781295512e-05
1542189365.8365912,299,1.4607465345761739e-05
1542189366.4076447,300,1.589173734828364e-05
1542189366.9829557,301,1.5031573639134876e-05
1542189367.5923312,302,1.5125239769986365e-05
1542189368.2118945,303,1.563750993227586e-05
1542189368.9116645,304,1.5159282156673726e-05
1542189369.973578,305,1.5126704965950921e-05
1542189370.585015,306,1.5130461179069243e-05
1542189371.18912,307,1.4442777683143504e-05
1542189371.8108222,308,1.5060589248605538e-05
1542189372.4030185,309,1.5295217963284813e-05
1542189373.000325,310,1.564289050293155e-05
1542189373.5850277,311,1.485760003561154e-05
1542189374.158173,312,1.5186633390840143e-05
1542189374.7395685,313,1.4928136806702241e-05
1542189375.3144906,314,1.5113298104552086e-05
1542189375.8898644,315,1.611429252079688e-05
1542189376.4706557,316,1.503098064858932e-05
1542189377.0584023,317,1.560432428959757e-05
1542189377.6339645,318,1.5304371117963456e-05
1542189378.2176998,319,1.486453584220726e-05
1542189378.795548,320,1.4811681467108428e-05
1542189379.3751693,321,1.4709614333696663e-05
1542189379.951678,322,1.4624514733441174e-05
1542189380.5281625,323,1.5432804502779618e-05
1542189381.1091492,324,1.5001653991930652e-05
1542189381.6916366,325,1.4851081687083934e-05
1542189382.2690399,326,1.5249549505824689e-05
1542189382.849831,327,1.494975367677398e-05
1542189383.4276516,328,1.511023765488062e-05
1542189384.0051422,329,1.4770502275496256e-05
1542189384.5798311,330,1.5216674000839703e-05
1542189385.1563993,331,1.4907451259205118e-05
1542189385.7482328,332,1.4795180504734162e-05
1542189386.3477523,333,1.5153428648773115e-05
1542189386.9249935,334,1.4697039659949951e-05
1542189387.5022817,335,1.4609359823225532e-05
1542189388.1421835,336,1.484655513195321e-05
1542189388.753329,337,1.5783502021804452e-05
1542189389.3543155,338,1.47009632200934e-05
1542189389.952905,339,1.449527007935103e-05
